tr|A0A7J6FUZ3|A0A7J6FUZ3_CANSA	Q3EBF7	40.0	85	858	449	1.60e-13	60.5	9.8	18.9
tr|A0A7J6FUZ3|A0A7J6FUZ3_CANSA	Q9ZRP7	35.9	78	858	449	7.25e-11	52.0	9.0	17.4
tr|A0A7J6DP00|A0A7J6DP00_CANSA	Q9ZRP7	64.8	449	447	449	3.70e-236	642	100	100
tr|A0A7J6DP00|A0A7J6DP00_CANSA	Q3EBF7	64.6	449	447	449	1.06e-235	640	100	100
tr|A0A7J6DW75|A0A7J6DW75_CANSA	Q9ZRP7	44.9	49	1487	449	9.67e-13	58.9	3.3	10.9
tr|A0A7J6DW75|A0A7J6DW75_CANSA	Q3EBF7	42.9	49	1487	449	3.87e-12	57.0	3.3	10.9
tr|A0A7J6DZJ3|A0A7J6DZJ3_CANSA	Q9ZRP7	44.9	49	1642	449	1.09e-12	58.9	3.0	10.9
tr|A0A7J6DZJ3|A0A7J6DZJ3_CANSA	Q3EBF7	42.9	49	1642	449	4.33e-12	57.0	3.0	10.9
tr|A0A7J6F6K5|A0A7J6F6K5_CANSA	Q9ZRP7	32.9	73	238	449	7.25e-14	57.8	29.4	16.3
tr|A0A7J6F6K5|A0A7J6F6K5_CANSA	Q3EBF7	34.2	73	238	449	1.77e-13	56.6	29.4	16.3
tr|A0A7J6F905|A0A7J6F905_CANSA	Q3EBF7	71.7	446	447	449	4.99e-262	707	99.8	99.3
tr|A0A7J6F905|A0A7J6F905_CANSA	Q9ZRP7	71.5	446	447	449	4.99e-262	707	99.8	99.3
tr|A0A7J6F9Y9|A0A7J6F9Y9_CANSA	Q9ZRP7	36.0	75	136	449	1.68e-13	53.9	55.1	16.5
tr|A0A7J6F9Y9|A0A7J6F9Y9_CANSA	Q3EBF7	38.2	55	136	449	1.26e-11	48.5	40.4	12.2
tr|A0A7J6FB06|A0A7J6FB06_CANSA	Q9ZRP7	38.4	73	133	449	7.02e-15	57.8	54.9	16.0
tr|A0A7J6FB06|A0A7J6FB06_CANSA	Q3EBF7	34.2	79	133	449	5.32e-13	52.4	56.4	17.4
tr|A0A7J6FV55|A0A7J6FV55_CANSA	Q3EBF7	43.1	51	134	449	1.83e-14	56.6	38.1	11.4
tr|A0A7J6FV55|A0A7J6FV55_CANSA	Q9ZRP7	40.4	57	134	449	2.49e-14	56.2	42.5	12.7
tr|A0A7J6GNJ4|A0A7J6GNJ4_CANSA	Q9ZRP7	38.6	57	135	449	1.88e-14	56.6	42.2	12.7
tr|A0A7J6GNJ4|A0A7J6GNJ4_CANSA	Q3EBF7	40.4	52	135	449	5.63e-13	52.4	38.5	11.6
tr|A0A7J6HH49|A0A7J6HH49_CANSA	Q3EBF7	42.9	70	119	449	4.01e-14	55.1	58.0	15.4
tr|A0A7J6HH49|A0A7J6HH49_CANSA	Q9ZRP7	34.6	81	119	449	1.89e-13	53.1	64.7	18.0
tr|A0A7J6H2D3|A0A7J6H2D3_CANSA	Q9ZRP7	65.4	81	102	449	1.70e-39	124	79.4	18.0
tr|A0A7J6H2D3|A0A7J6H2D3_CANSA	Q3EBF7	63.0	81	102	449	3.38e-37	118	79.4	18.0
tr|A0A7J6I564|A0A7J6I564_CANSA	Q9ZRP7	21.7	286	383	449	1.61e-06	36.6	69.7	60.4
tr|A0A7J6I564|A0A7J6I564_CANSA	Q3EBF7	20.7	294	383	449	2.82e-06	35.8	70.8	61.5
